time,text,Sentiment
01:33:40,@danielditomasso Congratulations to all of you 💯 episodes. 🎉🍾 #MajorCrimes 💜,0
01:35:31,RT @AShippersLife: #MajorCrimes Live FB Chat: Duff explains there is no Christmas eps this season because they didn't originally think it w…,1
01:35:51,RT @verybravo: Tune in tonight for the 100th episode of #MajorCrimes at 9e/6p followed by the series finale of @19two at 10e/7p on @verybra…,1
01:36:16,#MajorCrimes Congratulations to you all on the 100th episode! @RealTonyDenison @MaryMcDonnell10 @KatheMazur… https://t.co/kxEVTGBqt7,0
01:36:54,RT @BethMcKeeman: #MajorCrimes #savemajorcrimes watching it right NOW !! https://t.co/Ln8GiPGiKk,0
01:37:50,I can't believe that after tonight there are only 4 more episodes of #MajorCrimes left. I am not ready.,0
01:38:16,Getting ready for #MajorCrimes... https://t.co/7Re9ZeEdmO,0
01:42:13,"Okay, an off the way theory, what if this rapist (which I still think is the author’s son) had an accomplice called… https://t.co/MYmxBIry9e",0
01:43:58,And Rusty’s security needs to be a lot closer as he walks out of PAB and Gus walks right up to him #MajorCrimes,0
01:44:20,I have had serious anxiety today because of #MajorCrimes Deep. Breaths.,0
01:45:06,If they kill Sharon Raydor off tonight that would be the biggest eff you to the viewers I've ever seen in televisio… https://t.co/A0kMmnA0CD,0
01:45:46,Fifteen more minutes till the 💯 episode of #MajorCrimes Love ❤️ them like family! @RealTonyDenison @MaryMcDonnell10… https://t.co/dKAWjS4FLH,0
01:46:05,"RT @MajorCrimesTNT: To honor the 100th episode tonight, the cast of #MajorCrimes celebrated 100 of your amazing comments! Thank you to all…",1
01:47:06,#SaveMajorCrimes https://t.co/Q3Uhb08Ux6,0
01:49:03,#savemajorcrimes @CBS @CBSTweet @CBSTVStudios @warnerbrostv @EpixHD https://t.co/J4oeickZUD,0
01:49:08,RT @staceykblack: Tonight is the 3rd and 4th episodes in this timely and important story arc on @MajorCrimesTNT Tune in! #majorcrimes #grat…,1
01:49:41,RT @danielditomasso: 100th episode tonight!  A huge congrats to the #MajorCrimes family and an immense thank you to the fans.  Back to back…,1
01:49:52,#savemajorcrimes https://t.co/5hJD86i0p2,0
01:50:48,"RT @MajorCrimesTNT: To honor the 100th episode tonight, the cast of #MajorCrimes celebrated 100 of your amazing comments! Thank you to all…",1
01:51:05,10 more min til back 2 back episodes of #MajorCrimes,0
01:51:44,"RT @TVTango: 🌟Watch tonight @tntdrama 9-11pm🎉 100th Episode #MajorCrimes ""Conspiracy Theory"" Parts 3 &amp; 4 w/ @MaryMcDonnell10 @RealTonyDenis…",0
01:52:12,"RT @TVTango: 🌟Watch tonight @tntdrama 9-11pm🎉 100th Episode #MajorCrimes ""Conspiracy Theory"" Parts 3 &amp; 4 w/ @MaryMcDonnell10 @RealTonyDenis…",0
01:52:13,"RT @TVTango: 🌟Watch tonight @tntdrama 9-11pm🎉 100th Episode #MajorCrimes ""Conspiracy Theory"" Parts 3 &amp; 4 w/ @MaryMcDonnell10 @RealTonyDenis…",0
01:52:23,RT @RealTonyDenison: Tune in tonight - back to back #MajorCrimes episodes ! Double the #Shandy Double the Drama,0
01:52:25,RT @Eyes4Jan: 10 more min til back 2 back episodes of #MajorCrimes,0
01:53:38,Few minutes left! Who's ready to watch two epusodes with us? 🙌 #MajorCrimes,0
01:53:49,It’s getting closer to #MajorCrimes o’clock and while I couldn’t wait for the episodes to air... I am now incredibl… https://t.co/Bqmp3wtsPq,0
01:54:50,I’m really not ready for this but at the same time I just need it to be over so that I can think about something else #MajorCrimes,0
01:54:58,"More seasons, More seasons More seasons wanted! https://t.co/QefVoSEIIF",0
01:55:04,"RT @TVTango: 🌟Watch tonight @tntdrama 9-11pm🎉 100th Episode #MajorCrimes ""Conspiracy Theory"" Parts 3 &amp; 4 w/ @MaryMcDonnell10 @RealTonyDenis…",0
01:55:49,RT @coulocl13: Fifteen more minutes till the 💯 episode of #MajorCrimes Love ❤️ them like family! @RealTonyDenison @MaryMcDonnell10 #Shandy…,1
01:55:50,@MajorCrimesHQ 🙋 I'm so ready for two new back to back episodes of #MajorCrimes #SaveMajorCrimes 💜,0
01:55:56,#100thEpisode #MajorCrimes tonight!!! https://t.co/i6ZDqK136h,0
01:56:51,#MajorCrimes Live FB Chat: Duff states tonight's 2-parter will be an emotional journey with next week's 2-parter de… https://t.co/HwPSUTYcR1,0
01:56:53,"RT @MajorCrimesTNT: To honor the 100th episode tonight, the cast of #MajorCrimes celebrated 100 of your amazing comments! Thank you to all…",1
01:57:21,RT @AShippersLife: #MajorCrimes Live FB Chat: Duff states tonight's 2-parter will be an emotional journey with next week's 2-parter dealing…,0
01:57:35,#MajorCrimes TWO new episodes tonight! #fangirl SQUEE!!!!!!!!!!,1
01:57:35,"RT @MajorCrimesTNT: To honor the 100th episode tonight, the cast of #MajorCrimes celebrated 100 of your amazing comments! Thank you to all…",1
01:57:36,RT @AShippersLife: #MajorCrimes Live FB Chat: Duff states tonight's 2-parter will be an emotional journey with next week's 2-parter dealing…,0
01:58:05,RT @danielditomasso: 100th episode tonight!  A huge congrats to the #MajorCrimes family and an immense thank you to the fans.  Back to back…,1
01:58:18,Not sure what I’m gonna do once #majorcrimes wraps. Anticipating some serious @RealTonyDenison &amp; @MaryMcDonnell10 w… https://t.co/0vSNIvXJww,0
01:58:23,"RT @MajorCrimesTNT: To honor the 100th episode tonight, the cast of #MajorCrimes celebrated 100 of your amazing comments! Thank you to all…",1
01:58:24,Getting ready for two episodes of #MajorCrimes here in Oregon. Can't wait too hear what happens with… https://t.co/7waO4RqIhS,0
01:58:42,"RT @theresa_1922: 🚨🚔🚨
2 new episodes of #MajorCrimes S6 9/8c &amp; 10/9c on TNT 
#MajorCrimes100 #SaveMajorCrimes @CBS @warnerbrostv @amazon ht…",1
01:58:53,Congratulations to the cast and crew on 100 episodes #MajorCrimes,1
01:58:53,RT @RealTonyDenison: Tune in tonight - back to back #MajorCrimes episodes ! Double the #Shandy Double the Drama,0
01:59:11,RT @BethMcKeeman: Not sure what I’m gonna do once #majorcrimes wraps. Anticipating some serious @RealTonyDenison &amp; @MaryMcDonnell10 withdra…,0
01:59:21,RT @Eyes4Jan: Congratulations to the cast and crew on 100 episodes #MajorCrimes,1
01:59:24,"RT @MajorCrimesTNT: To honor the 100th episode tonight, the cast of #MajorCrimes celebrated 100 of your amazing comments! Thank you to all…",1
01:59:39,@danielditomasso So excited for @MajorCrimesTNT reaching 100 episodes and to watch #MajorCrimes tonight!,1
